Period,value,MAGNTUDE,Group,Region,Industry
2009,290.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Public Administration and Safety
2010,294.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Public Administration and Safety
2011,313.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Public Administration and Safety
2012,320.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Public Administration and Safety
2013,323.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Public Administration and Safety
2014,320.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Public Administration and Safety
2015,327.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Public Administration and Safety
2016,348.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Public Administration and Safety
2017,369.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Public Administration and Safety
2018,393.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Public Administration and Safety
2019,470.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Public Administration and Safety
2020,511.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Public Administration and Safety
2021,547.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Public Administration and Safety
2022,542.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Public Administration and Safety
2000,212.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2001,229.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2002,238.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2003,252.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2004,277.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2005,303.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2006,321.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2007,370.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2008,396.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2009,422.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2010,450.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2011,470.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2012,477.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2013,506.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2014,520.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2015,545.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2016,547.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2017,602.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2018,621.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2019,674.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2020,695.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2021,727.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2022,812.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Education and Training
2000,312.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2001,324.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2002,349.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2003,400.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2004,438.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2005,491.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2006,563.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2007,591.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2008,658.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2009,713.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2010,780.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2011,790.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2012,820.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2013,848.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2014,882.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2015,912.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2016,982.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2017,1013.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2018,1138.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2019,1206.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2020,1294.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2021,1515.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2022,1723.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Health Care and Social Assistance
2000,5430.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2001,5843.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2002,6238.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2003,6405.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2004,6810.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2005,7297.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2006,7664.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2007,8399.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2008,9110.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2009,9039.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2010,9409.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2011,9947.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2012,10321.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2013,10490.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2014,11030.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2015,11291.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2016,12287.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2017,13820.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2018,15106.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2019,16322.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2020,17283.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2021,18012.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2022,19527.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Total All Industries
2000,406.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2001,429.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2002,454.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2003,488.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2004,521.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2005,565.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2006,597.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2007,700.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2008,745.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2009,724.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2010,741.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2011,846.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2012,942.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2013,969.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2014,992.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2015,1025.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2016,1131.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2017,1315.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2018,1411.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2019,1504.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2020,1596.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2021,1584.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2022,1741.0,6,"Gross domestic product, by region and industry",Bay of Plenty,"GST on Production, Import Duties and Other Taxes"
2000,5837.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2001,6273.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2002,6693.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2003,6893.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2004,7332.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2005,7862.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2006,8261.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2007,9098.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2008,9855.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2009,9763.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2010,10150.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2011,10794.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2012,11264.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2013,11459.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2014,12023.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2015,12316.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2016,13419.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2017,15135.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2018,16517.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2019,17826.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2020,18879.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2021,19597.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2022,21269.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2023,22581.0,6,"Gross domestic product, by region and industry",Bay of Plenty,Gross Domestic Product
2000,99.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2001,118.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2002,140.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2003,117.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2004,123.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2005,114.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2006,123.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2007,137.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2008,134.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2009,138.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2010,137.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2011,162.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2012,186.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2013,157.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2014,178.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2015,175.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2016,179.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2017,198.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2018,227.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2019,220.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2020,233.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2021,221.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2022,240.0,6,"Gross domestic product, by region and industry",Gisborne,Agriculture
2000,92.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2001,108.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2002,105.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2003,101.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2004,78.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2005,80.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2006,72.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2007,100.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2008,81.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2009,100.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2010,118.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2011,151.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2012,138.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2013,132.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2014,161.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2015,144.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2016,212.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2017,198.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2018,232.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2019,249.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2020,228.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2021,215.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2022,159.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, and Mining"
2000,103.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2001,119.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2002,122.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2003,118.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2004,95.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2005,98.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2006,85.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2007,112.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2008,94.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2009,118.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2010,136.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2011,197.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2012,189.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2013,184.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2014,213.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2015,197.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2016,274.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2017,259.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2018,295.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2019,328.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2020,279.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2021,261.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2022,203.0,6,"Gross domestic product, by region and industry",Gisborne,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2000,113.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2001,102.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2002,84.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2003,108.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2004,97.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2005,98.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2006,82.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2007,89.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2008,99.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2009,104.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2010,94.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2011,84.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2012,94.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2013,111.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2014,92.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2015,108.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2016,102.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2017,94.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2018,99.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2019,101.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2020,98.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2021,142.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2022,112.0,6,"Gross domestic product, by region and industry",Gisborne,Primary Manufacturing
2000,19.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2001,19.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2002,22.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2003,22.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2004,21.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2005,20.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2006,19.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2007,22.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2008,22.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2009,24.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2010,23.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2011,23.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2012,20.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2013,19.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2014,22.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2015,28.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2016,24.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2017,25.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2018,26.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2019,25.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2020,27.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2021,27.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2022,31.0,6,"Gross domestic product, by region and industry",Gisborne,Other Manufacturing
2000,132.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2001,120.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2002,106.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2003,130.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2004,118.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2005,117.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2006,101.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2007,111.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2008,122.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2009,127.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2010,117.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2011,108.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2012,114.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2013,131.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2014,113.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2015,136.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2016,125.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2017,118.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2018,125.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2019,126.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2020,125.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2021,169.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2022,143.0,6,"Gross domestic product, by region and industry",Gisborne,Manufacturing
2000,11.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2001,10.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2002,16.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2003,17.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2004,17.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2005,18.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2006,12.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2007,13.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2008,14.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2009,18.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2010,18.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2011,47.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2012,50.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2013,52.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2014,52.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2015,54.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2016,62.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2017,61.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2018,63.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2019,78.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2020,51.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2021,46.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2022,44.0,6,"Gross domestic product, by region and industry",Gisborne,"Electricity, Gas, Water, and Waste services"
2000,55.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2001,65.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2002,61.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2003,66.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2004,75.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2005,92.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2006,91.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2007,88.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2008,105.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2009,102.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2010,102.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2011,100.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2012,98.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2013,97.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2014,94.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2015,101.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2016,111.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2017,108.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2018,127.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2019,144.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2020,153.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2021,171.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2022,168.0,6,"Gross domestic product, by region and industry",Gisborne,Construction
2000,25.0,6,"Gross domestic product, by region and industry",Gisborne,Wholesale Trade
2001,27.0,6,"Gross domestic product, by region and industry",Gisborne,Wholesale Trade
2002,29.0,6,"Gross domestic product, by region and industry",Gisborne,Wholesale Trade
2003,27.0,6,"Gross domestic product, by region and industry",Gisborne,Wholesale Trade
2004,28.0,6,"Gross domestic product, by region and industry",Gisborne,Wholesale Trade
